P02_P14,36,P02,Finding solutions are generally better when working together,P02:Finding solutions are generally better when working together
P02_P14,72,P14,Asking questions to understand the shared goal with troubleshooting,P14:Asking questions to understand the shared goal with troubleshooting
P02_P14,70,P14,Highlighting the hardest thing with collaborating is lack of context and getting people up to speed with what’s going on,P14:Highlighting the hardest thing with collaborating is lack of context and getting people up to speed with what’s going on
P02_P14,58,P02,Finding communication skill important so that it’s not people wanting divergent things,P02:Finding communication skill important so that it’s not people wanting divergent things
P02_P14,69,P14,"When teammates ask for help, assume you are already in their head. ","P14:When teammates ask for help, assume you are already in their head. "
P02_P14,62,P02,Bringing people together to do the collaboration reduces the risk of institutional knowledge loss,P02:Bringing people together to do the collaboration reduces the risk of institutional knowledge loss
P02_P14,74,P14,Collaborating enabled solving of a problem that wouldn’t have happened otherwise because of special knowledge that the person that asked didn’t have,P14:Collaborating enabled solving of a problem that wouldn’t have happened otherwise because of special knowledge that the person that asked didn’t have
P02_P14,75,P14,"Similarity of error to other similar errors in the Q&A system was misleading, actively unhelpful","P14:Similarity of error to other similar errors in the Q&A system was misleading, actively unhelpful"
P02_P14,64,P02,Allowing for asynchronous collaboration could reduce friction but also create a slower feedback cycle,P02:Allowing for asynchronous collaboration could reduce friction but also create a slower feedback cycle
P02_P14,59,P02,Writing up a doc and bringing people in before a decision is made empowers people to have input on a system (theme: thriving/agency),P02:Writing up a doc and bringing people in before a decision is made empowers people to have input on a system (theme: thriving/agency)
P02_P14,63,P02,Joining a video call feels disruptive,P02:Joining a video call feels disruptive
P02_P14,67,P14,Trying to help when people not providing enough context,P14:Trying to help when people not providing enough context
P02_P14,68,P14,"Contrasting knowing key things to share as context, vs people thinking you’re in their head","P14:Contrasting knowing key things to share as context, vs people thinking you’re in their head"
P02_P14,71,P14,"Make collaboration easier by asking for details, walk me through it, what have you tried","P14:Make collaboration easier by asking for details, walk me through it, what have you tried"
P02_P14,66,P14,"Challenge that comes up when people ask for help aren’t asking for help well, don’t provide enough context, like screenshots, info that’s going to help build the context","P14:Challenge that comes up when people ask for help aren’t asking for help well, don’t provide enough context, like screenshots, info that’s going to help build the context"
P02_P14,73,P14,"When people communicate, they say the steps they did and Z didn’t happen, but not the context of why they wanted Z to happen — the shared goal, of what they were trying to accomplish","P14:When people communicate, they say the steps they did and Z didn’t happen, but not the context of why they wanted Z to happen — the shared goal, of what they were trying to accomplish"
P02_P14,61,P02,"Bus problem of one, means nobody knows how this thing works","P02:Bus problem of one, means nobody knows how this thing works"
P02_P14,65,P14,Challenge that comes up is another person getting visibility into seeing what you’re seeing,P14:Challenge that comes up is another person getting visibility into seeing what you’re seeing
P02_P14,57,P02,Collaborating processes of going back and forth are required in order to make the collaboration successful,P02:Collaborating processes of going back and forth are required in order to make the collaboration successful
P02_P14,60,P02,Bringing people in reduces the “bus problem” of nobody knowing how a thing works,P02:Bringing people in reduces the “bus problem” of nobody knowing how a thing works
P02_P14,56,P02,Collaborating made it much easier to resolve the problem,P02:Collaborating made it much easier to resolve the problem
P04_P23,230,P04,Having done my part with investigating before asking for help makes collaboration easier,P04:Having done my part with investigating before asking for help makes collaboration easier
P04_P23,238,P23,Highlighting benefit of asking other people is they have context you don’t,P23:Highlighting benefit of asking other people is they have context you don’t
