Participant,Start,End,Code,Quote,,,,,,,,,,
P02,"45:53,220","46:15,580","Bus problem of one, means nobody knows how this thing works","And so a bus problem of one is bad, because it means if I'm out sick or something, now nobody knows how this thing works. And that's never a good thing. Or if I just go on leave or leave the company, nobody knows how all of this institutional knowledge works anymore.",,,,,,,,,,
P02,"47:06,700","48:21,240","Challenge of having contributions measured in metrics of impact to the business, that make it hard to prioritize other important work","- I think the biggest challenge that software faces just in general, is a lot of our contributions are measured in metrics. And a lot of that is measured in impact to the business. That means it's really hard to prioritize technical debt. It's really hard to prioritize developer experience work that makes it easier for everybody to do their job because that isn't delivering the product that you're intended to. And so because the metrics for that become more complicated, you run into like a measurability bias of, it's easier to measure the contributions to the product. And so it's better to do that rather than make these behind the scenes improvements that would make it so we can improve things and deliver code faster and do all of those same changes, but even better and faster. We just need to spend this week doing this other thing first. That is politically just really complicated to actually execute and takes a long time. And usually you get a lot of just questions that make leadership uncomfortable.",,,,,,,,,,
P02,"36:42,120","37:24,860","Clarifies when it’s preferable to use email to ask for help instead of chat, as when it’s someone not regularly speaking, and non-urgent.  The medium changes the expectation around how soon you expect a response","If I'm speaking with somebody who I am not regularly speaking to, like non-teams, and it's a non-urgent thing, I use email instead of chat. That's just a personal preference, but also the weight, I guess, of how soon you're expecting a response seems to change with those two forms of communication. If I send an email and you respond tomorrow, that seems more acceptable than if I send a chat message and see you're online, and then you respond tomorrow. Even though it's the exact same response and the exact same interaction, it socially just feels different. So I try to do email just so there's no time pressure.",,,,,,,,,,
P02,"09:41,580","10:14,260","Defines a dimension of troubleshooting situation as “scale” of the problem, contrasting my dev environment is broken, vs everybody’s dev environment is broken","And it can scale as well. If my developer environment is broken, that's different than if everybody's developer environment is broken. If nobody can contribute code to the product, that becomes significantly more of a problem, and then you have to scale up how you're addressing that and look at it with a different view in that case. So figuring out, is the problem just me or is it everyone?",,,,,,,,,,
P02,"05:56,320","06:35,140","Defining “observable” by comparison with how a car works, and if your tire is flat, you can take that system and isolate it, and because you can isolate it, you can figure out whatever the problem is.","I make a lot of comparisons to cars when I try to talk about an observable system and being able to understand it. You don't need to know how a car works, but if your tire is flat or something, you can take that system and isolate it. And then because you can isolate it, you can figure out, ""Oh, I need to add air to the tire,"" or, ""I need to change the tread on the tire,"" or, ""Maybe the hubcap is missing,"" or, ""This bolt is missing,"" or whatever that problem is. Because you can isolate the solution into that single item, rather than looking at the the whole of the car becomes really easy.""",,,,,,,,,,
P02,"04:40,400","05:07,240",Defining “transparency” as the ability to inspect the system as a means to understand it,"So the thing that makes troubleshooting easy is, again, that transparency, being able to  inspect the system and understand it. So for example, open source libraries are really good at this, I've found. If you're working with open source, you have access to the source, you can go into it and actually inspect it. And because it's the source code, a lot of the times the documentation and such is preserved in those things.",,,,,,,,,,
P02,"07:32,500","08:01,620","Difficulty to attach a debugger with multiple processes, relying on tracing","It also is kind of hard to attach a debugger  in that environment. There's no real good way to attach a debugger to seven different processes, for example, or to a horizontally scaled thing. That just isn't something that is very easy to do. And so in those kind of systems, it's a lot of reliance on tracing and being able to track a user journey using those traces and then relying on metrics and things.",,,,,,,,,,
P02,"24:20,300","24:47,940","Feeling relieved after troubleshooting, not joy or happiness, but like a term paper that’s finished, and you’re like okay, that’s done","Relieved, I would say. Not like joy or happiness, just like, yes, this is done. Like you have like a term paper or something, you just turn that in and you're like, okay. or a final in school. You hand that in, you're like, okay, I don't know how I did. I don't know if it works, but that's done. That tends to be how I felt in that case.",,,,,,,,,,
P02,"06:39,620","06:56,140","In a production system, it’s really hard to tell what’s happening, even if you have an observable platform, at least without a lot of time and energy and money","Once you start running something in production, it gets really hard to tell what's happening, even if you have an observable platform, at least without a lot of time and energy and money. It becomes really hard to tell what's actually going on there.",,,,,,,,,,
P02,"43:20,340","44:12,460",Leading people to think a little bit about it by asking questions is much more effective than telling someone what to do.,"And those kind of questions lead people to think a little bit about, oh, how would that work? that wouldn't work very well. And then they can sort of go along that path and start answering those kind of things. And you can sort of use that. I found it not very effective if you just tell somebody what to do. If they're asking for that, then that's fine. But if you just tell somebody what to do, most of the time they're just going to not want to do that and they're going to want to do their thing. So part of what I try to do when I'm working with troubleshooting something is kind of try to change how the person thinks. Or help them find the answers to the questions that they're asking without giving those answers,",,,,,,,,,,
